region,capacity_mw,id
p33,1894.3,p33
p63,5479.4,p63
p70,4631.4,p70
p49,897.7,p49
p121,190.0,p121
p133,43.5,p133
p126,9.0,p126
p25,389.7,p25
p3,249.3,p3
p27,360.0,p27
p39,30.0,p39
p15,202.4,p15
p41,366.0,p41
p37,1420.3,p37
p51,150.4,p51
p40,3128.0,p40
p127,2739.8,p127
p132,5.0,p132
p21,285.0,p21
p79,54.0,p79
p75,31.0,p75
p103,3478.3,p103
p34,3281.2,p34
p105,3452.1,p105
p62,2592.7,p62
p98,208.0,p98
p61,6519.3,p61
p122,1313.0,p122
p92,28.8,p92
p50,11197.8,p50
p130,214.1,p130
p38,2853.7,p38
p44,2664.6,p44
p1,603.6,p1
p77,224.6,p77
p16,712.3,p16
p76,503.9,p76
p12,150.0,p12
p18,805.2,p18
p131,86.7,p131
p20,754.8,p20
p111,12.7,p111
p5,3927.9,p5
p10,4224.7,p10
p7,53.0,p7
p55,298.8,p55
p32,105.0,p32
p11,458.4,p11
p35,30.0,p35
p2,2533.9,p2
p112,1055.6,p112
p43,249.3,p43
p81,1592.1,p81
p60,9703.4,p60
p28,495.5,p28
p69,1220.6,p69
p80,2521.7,p80
p24,2845.0,p24
p71,400.0,p71
p115,65.4,p115
p134,1032.5,p134
p65,8496.0,p65
p36,2910.0,p36
p45,7125.5,p45
p9,1570.4,p9
p116,856.0,p116
p119,177.6,p119
p48,7830.5,p48
p68,1983.1,p68
p53,8329.6,p53
p47,2112.6,p47
p42,59.7,p42
p82,1147.5,p82
p83,2641.4,p83
p52,769.0,p52
p54,1736.9,p54
p129,151.0,p129
p31,2294.9,p31
p74,100.8,p74
